bank_transaction_id,invoice_record_id,relationship,defect_type
BANK-00001,INVREC-00001,MATCH,VENDOR_NAME_VARIATION
BANK-00002,INVREC-00002,MATCH,VENDOR_NAME_VARIATION
BANK-00003,INVREC-00003,MATCH,VENDOR_NAME_VARIATION
BANK-00004,INVREC-00004,MATCH,VENDOR_NAME_VARIATION
BANK-00005,INVREC-00005,MATCH,VENDOR_NAME_VARIATION
BANK-00006,INVREC-00006,MATCH,VENDOR_NAME_VARIATION
BANK-00007,INVREC-00007,MATCH,VENDOR_NAME_VARIATION
BANK-00008,INVREC-00008,MATCH,VENDOR_NAME_VARIATION
BANK-00009,INVREC-00009,MATCH,VENDOR_NAME_VARIATION
BANK-00010,INVREC-00010,MATCH,VENDOR_NAME_VARIATION
BANK-00011,INVREC-00011,MATCH,DATE_DIFFERENCE
BANK-00012,INVREC-00012,MATCH,DATE_DIFFERENCE
BANK-00013,INVREC-00013,MATCH,DATE_DIFFERENCE
BANK-00014,INVREC-00014,MATCH,DATE_DIFFERENCE
BANK-00015,INVREC-00015,MATCH,DATE_DIFFERENCE
BANK-00016,INVREC-00016,UNMATCHED,AMOUNT_MISMATCH
BANK-00017,INVREC-00017,UNMATCHED,AMOUNT_MISMATCH
BANK-00018,INVREC-00018,UNMATCHED,AMOUNT_MISMATCH
BANK-00019,INVREC-00019,UNMATCHED,AMOUNT_MISMATCH
BANK-00020,INVREC-00020,UNMATCHED,AMOUNT_MISMATCH
BANK-00021,INVREC-00021,UNMATCHED,MISSING_INVOICE
BANK-00022,INVREC-00022,UNMATCHED,MISSING_INVOICE
BANK-00023,INVREC-00023,UNMATCHED,MISSING_INVOICE
BANK-00024,INVREC-00024,UNMATCHED,MISSING_INVOICE
BANK-00025,INVREC-00025,UNMATCHED,MISSING_INVOICE
BANK-00026,INVREC-00026,MATCH,
BANK-00027,INVREC-00027,MATCH,
BANK-00028,INVREC-00028,MATCH,
BANK-00029,INVREC-00029,MATCH,
BANK-00030,INVREC-00030,MATCH,
BANK-00031,INVREC-00031,MATCH,
BANK-00032,INVREC-00032,MATCH,
BANK-00033,INVREC-00033,MATCH,
BANK-00034,INVREC-00034,MATCH,
BANK-00035,INVREC-00035,MATCH,
BANK-00036,INVREC-00036,MATCH,
BANK-00037,INVREC-00037,MATCH,
BANK-00038,INVREC-00038,MATCH,
BANK-00039,INVREC-00039,MATCH,
BANK-00040,INVREC-00040,MATCH,
BANK-00041,INVREC-00041,MATCH,
BANK-00042,INVREC-00042,MATCH,
BANK-00043,INVREC-00043,MATCH,
BANK-00044,INVREC-00044,MATCH,
BANK-00045,INVREC-00045,MATCH,
BANK-00046,INVREC-00046,MATCH,
BANK-00047,INVREC-00047,MATCH,
BANK-00048,INVREC-00048,MATCH,
BANK-00049,INVREC-00049,MATCH,
BANK-00050,INVREC-00050,MATCH,
BANK-00051,INVREC-00051,MATCH,
BANK-00052,INVREC-00052,MATCH,
BANK-00053,INVREC-00053,MATCH,
BANK-00054,INVREC-00054,MATCH,
BANK-00055,INVREC-00055,MATCH,
BANK-00056,INVREC-00056,MATCH,
BANK-00057,INVREC-00057,MATCH,
BANK-00058,INVREC-00058,MATCH,
BANK-00059,INVREC-00059,MATCH,
BANK-00060,INVREC-00060,MATCH,
BANK-00061,INVREC-00061,MATCH,
BANK-00062,INVREC-00062,MATCH,
BANK-00063,INVREC-00063,MATCH,
BANK-00064,INVREC-00064,MATCH,
BANK-00065,INVREC-00065,MATCH,
BANK-00066,INVREC-00066,MATCH,
BANK-00067,INVREC-00067,MATCH,
BANK-00068,INVREC-00068,MATCH,
BANK-00069,INVREC-00069,MATCH,
BANK-00070,INVREC-00070,MATCH,
BANK-00071,INVREC-00071,MATCH,
BANK-00072,INVREC-00072,MATCH,
BANK-00073,INVREC-00073,MATCH,
BANK-00074,INVREC-00074,MATCH,
BANK-00075,INVREC-00075,MATCH,
BANK-00076,INVREC-00076,MATCH,
BANK-00077,INVREC-00077,MATCH,
BANK-00078,INVREC-00078,MATCH,
BANK-00079,INVREC-00079,MATCH,
BANK-00080,INVREC-00080,MATCH,
BANK-00081,INVREC-00081,MATCH,
BANK-00082,INVREC-00082,MATCH,
BANK-00083,INVREC-00083,MATCH,
BANK-00084,INVREC-00084,MATCH,
BANK-00085,INVREC-00085,MATCH,
BANK-00086,INVREC-00086,MATCH,
BANK-00087,INVREC-00087,MATCH,
BANK-00088,INVREC-00088,MATCH,
BANK-00089,INVREC-00089,MATCH,
BANK-00090,INVREC-00090,MATCH,
BANK-00091,INVREC-00091,MATCH,
BANK-00092,INVREC-00092,MATCH,
BANK-00093,INVREC-00093,MATCH,
BANK-00094,INVREC-00094,MATCH,
BANK-00095,INVREC-00095,MATCH,
BANK-00096,INVREC-00096,MATCH,
BANK-00097,INVREC-00097,MATCH,
BANK-00098,INVREC-00098,MATCH,
BANK-00099,INVREC-00099,MATCH,
BANK-00100,INVREC-00100,MATCH,
