invoice_record_id,invoice_number,invoice_date,vendor_name,gstin,taxable_value,cgst,sgst,igst,total
INVREC-00001,INV-26-00001,2026-07-29,Apex Office Solutions,24ABCDE1234F1Z5,32986.84,2968.82,2968.82,0.00,38924.47
INVREC-00002,INV-26-00002,2026-07-09,Bharat Cloud Services,27BCDEF2345G1Z6,53702.85,4833.26,4833.26,0.00,63369.36
INVREC-00003,INV-26-00003,2026-07-29,Cedar Industrial Supplies,29CDEFG3456H1Z7,20583.03,1852.47,1852.47,0.00,24287.98
INVREC-00004,INV-26-00004,2026-07-19,Delta Business Systems,07DEFGH4567J1Z8,59820.69,5383.86,5383.86,0.00,70588.41
INVREC-00005,INV-26-00005,2026-07-27,Evergreen Packaging,06EFGHI5678K1Z9,50187.75,4516.90,4516.90,0.00,59221.54
INVREC-00006,INV-26-00006,2026-07-20,Apex Office Solutions,24ABCDE1234F1Z5,33120.28,2980.83,2980.83,0.00,39081.93
INVREC-00007,INV-26-00007,2026-07-20,Bharat Cloud Services,27BCDEF2345G1Z6,2854.83,256.93,256.93,0.00,3368.70
INVREC-00008,INV-26-00008,2026-07-04,Cedar Industrial Supplies,29CDEFG3456H1Z7,29797.25,2681.75,2681.75,0.00,35160.75
INVREC-00009,INV-26-00009,2026-07-19,Delta Business Systems,07DEFGH4567J1Z8,64335.97,5790.24,5790.24,0.00,75916.45
INVREC-00010,INV-26-00010,2026-07-05,Evergreen Packaging,06EFGHI5678K1Z9,75232.13,6770.89,6770.89,0.00,88773.91
INVREC-00011,INV-26-00011,2026-06-29,Apex Office Solutions,24ABCDE1234F1Z5,75657.64,6809.19,6809.19,0.00,89276.01
INVREC-00012,INV-26-00012,2026-07-28,Bharat Cloud Services,27BCDEF2345G1Z6,55357.96,4982.22,4982.22,0.00,65322.39
INVREC-00013,INV-26-00013,2026-07-27,Cedar Industrial Supplies,29CDEFG3456H1Z7,59092.63,5318.34,5318.34,0.00,69729.30
INVREC-00014,INV-26-00014,2026-07-19,Delta Business Systems,07DEFGH4567J1Z8,55978.94,5038.10,5038.10,0.00,66055.15
INVREC-00015,INV-26-00015,2026-07-17,Evergreen Packaging,06EFGHI5678K1Z9,10844.36,975.99,975.99,0.00,12796.34
INVREC-00016,INV-26-00016,2026-07-19,Apex Office Solutions,24ABCDE1234F1Z5,49213.42,4429.21,4429.21,0.00,58071.83
